key,name,provider,provider_slug,category,category_label,benefit_type,application_status,application_status_source_url,application_status_checked_at,value_text,value_usd,eligibility,stages,max_funding_raised_usd,max_company_age_years,geographies,recurring_or_expiry,other_requirements,confidence,last_verified,source_url,apply_url,url
fondo-tax-credits-startup-bookkeeping-yc-partner-deal,Fondo Tax Credits + Startup Bookkeeping (YC partner deal),Fondo,fondo,finance-ops,Finance & Ops,Discount,unknown,,,"Up to $500,000 per year in R&D tax credits",500000,No funding needed,pre-seed; seed; series-a,5000000,,US,R&D credit claimed annually; you only pay if Fondo recovers money.,R&D credit payroll offset generally requires under $5M in gross receipts and US employees/contractors doing product development. The 15% fee cap requires being a Y Combinator company (referral-gated); the standard cap is 20%.,medium,2026-08-14T07:01:05.370Z,https://fondo.com/tax-credits,https://fondo.com/tax-credits,https://startupperks.co/programs/fondo-tax-credits-startup-bookkeeping-yc-partner-deal
google-for-startups-cloud-program,Google for Startups Cloud Program,Google Cloud,google-cloud,cloud-infra,Cloud & Infrastructure,Credits,unknown,,,"Up to $200,000 USD in Google Cloud (up to $350,000 USD for AI startups)",350000,Any startup,idea; pre-seed; seed; series-a,,5,,Credits span two years; one-time enrollment.,Under 5 years old; not raised beyond Series A (within last 12 months); not a prior Google Cloud program participant. Scale tier requires equity funding (SAFEs qualify); Start tier open to unfunded. No equity taken.,high,2026-08-14T07:01:05.370Z,https://cloud.google.com/startup/benefits,https://cloud.google.com/startup,https://startupperks.co/programs/google-for-startups-cloud-program
brex-for-startups-partner-perks,Brex for Startups (partner perks),Brex,brex,banking-fintech,Banking & Fintech,Credits,unknown,,,"Up to $200,000 USD over 2 years",200000,Any startup,pre-seed; seed; series-a; idea; any,,,US,Ongoing perks; individual partner offers have their own terms.,Card eligibility historically favors funded/professionally-backed startups; perks accessible to Brex account holders. Perk values are aggregated third-party offers.,high,2026-08-14T07:01:05.370Z,https://www.brex.com/support/brex-partner-perks,https://www.brex.com/support/brex-partner-perks,https://startupperks.co/programs/brex-for-startups-partner-perks
ramp-for-startups-partner-rewards,Ramp for Startups / Partner Rewards,Ramp,ramp,finance-ops,Finance & Ops,Credits,unknown,,,"Access over $350,000 in partner rewards",,No funding needed,idea; pre-seed; seed; series-a; any,,,US,Ongoing; review of perk eligibility takes 1-2 business days.,Explicitly non-dilutive (no equity). Perk values are aggregated third-party partner offers.,high,2026-08-14T07:01:05.370Z,https://ramp.com/rewards,https://ramp.com/rewards,https://startupperks.co/programs/ramp-for-startups-partner-rewards
cloudflare-for-startups,Cloudflare for Startups,Cloudflare,cloudflare,cloud-infra,Cloud & Infrastructure,Credits,unknown,,,"Up to $350,000 in credits",350000,Any startup,pre-seed; seed; series-a,,5,,One-time credit grant.,"Building a software/SaaS product, founded within last 5 years, valid website and matching email. Direct applications accepted for lower tiers; $100K/$250K require an approved partner. Non-dilutive.",high,2026-08-14T07:01:05.370Z,https://www.cloudflare.com/forstartups/,https://www.cloudflare.com/forstartups/,https://startupperks.co/programs/cloudflare-for-startups
snowflake-startup-program-startup-accelerator,Snowflake Startup Program / Startup Accelerator,Snowflake,snowflake,databases-data,Databases & Data,Credits,unknown,,,Up to $250K credits,250000,VC / accelerator-backed,pre-seed; seed; series-a,,,,,Early-stage company building on Snowflake; credit tier depends on stage and partner validation.,low,2026-08-14T07:01:05.370Z,https://www.snowflake.com/en/blog/startup-accelerator-investment-expansion/,https://www.snowflake.com/en/startups/,https://startupperks.co/programs/snowflake-startup-program-startup-accelerator
databricks-startup-program,Databricks Startup Program,Databricks,databricks,databases-data,Databases & Data,Credits,unknown,,,Up to $200k in credits across Databricks and Neon,200000,VC / accelerator-backed,pre-seed; seed; series-a,,,,,"Must be venture-backed and building data/AI-driven applications, recently raised institutional funding (pre-seed to Series A).",high,2026-08-14T07:01:05.370Z,https://www.databricks.com/blog/announcing-new-databricks-startup-program,https://www.databricks.com/product/startups,https://startupperks.co/programs/databricks-startup-program
microsoft-for-startups-founders-hub,Microsoft for Startups Founders Hub,Microsoft,microsoft,cloud-infra,Cloud & Infrastructure,Credits,unknown,,,"Up to $150,000 in credits",150000,Any startup,idea; pre-seed; seed; series-a,,,,Credits allocated over the program period (staged); one enrollment.,"Base $5K tier broadly open (privately held, building a software/AI product, not previously enrolled). $100K-$150K tiers require an Investor Network referral code from a partnered VC/accelerator. No equity taken.",high,2026-08-15T06:02:06.427Z,https://www.microsoft.com/en-us/startups,https://www.microsoft.com/en-us/startups,https://startupperks.co/programs/microsoft-for-startups-founders-hub
pinecone-for-startups,Pinecone for Startups,Pinecone,pinecone,databases-data,Databases & Data,Credits,unknown,,,"Free access to Pinecone's Standard Tier and Pro Support, plus usage credits and discounts",,Any startup,pre-seed; seed; series-a; series-b-plus,,,,$5K over 6 months (unfunded) or up to $150K over 2 years (funded).,Higher credit tier requires having raised institutional funding.,medium,2026-08-15T00:01:17.954Z,https://www.pinecone.io/startup-program/,https://www.pinecone.io/startup-program/,https://startupperks.co/programs/pinecone-for-startups
mixpanel-for-startups,Mixpanel for Startups,Mixpanel,mixpanel,marketing-sales,Marketing & Sales,Free plan,unknown,,,First year free on the Startup Plan,,Any startup,pre-seed; seed; series-a,8000000,5,,Free for the first year.,Incorporated less than five years ago; must implement (send data) within 90 days.,high,2026-08-15T00:01:17.954Z,https://docs.mixpanel.com/docs/pricing/startup-program,https://mixpanel.com/startups,https://startupperks.co/programs/mixpanel-for-startups
